魄概ID,林巩老磊,淬寸磊,瘤开,措府痢,力前内靛,窜啊,荐樊,且牢啦,陛咀
246,2021-07-04,巩技辣,堡林,25,4,"239,880",55,0.1,"11,874,060"
247,2021-07-05,冠柳酋,堡林,3,73,"63,480",77,0.2,"3,910,368"
248,2021-07-05,辫蛮柳,堡林,21,14,"25,884",78,0,"2,018,952"
249,2021-07-06,巩技辣,堡林,24,31,"43,188",84,0.1,"3,265,013"
250,2021-07-06,救沥绕,堡林,16,10,"278,400",74,0.2,"16,481,280"
251,2021-07-09,巩技辣,堡林,24,67,"21,480",101,0.1,"1,952,532"
252,2021-07-09,救沥绕,堡林,17,31,"43,188",88,0,"3,800,544"
253,2021-07-10,辣措泅,堡林,10,47,"26,400",76,0,"2,006,400"
254,2021-07-10,弥家扼,堡林,18,70,"27,480",77,0,"2,115,960"
255,2021-07-11,救沥绕,堡林,17,40,"93,216",20,0.1,"1,677,888"
256,2021-07-11,碍悼盔,堡林,43,19,"43,188",120,0,"5,182,560"
257,2021-07-12,急窍扼,堡林,12,10,"278,400",31,0.1,"7,767,360"
258,2021-07-12,弥家扼,堡林,18,67,"21,480",93,0,"1,997,640"
259,2021-07-13,碍悼盔,堡林,43,51,"359,076",104,0,"37,343,904"
260,2021-07-13,坷康荐,堡林,32,53,"359,076",119,0.1,"38,457,040"
261,2021-07-16,冠柳酋,堡林,4,45,"39,588",56,0.2,"1,773,542"
262,2021-07-16,坷康荐,堡林,30,12,"25,884",77,0.1,"1,793,761"
263,2021-07-17,坷康荐,堡林,31,33,"71,988",11,0,"791,868"
264,2021-07-17,急窍扼,堡林,12,38,"93,216",21,0,"1,957,536"
265,2021-07-18,辫蛮柳,堡林,19,78,"59,988",93,0.1,"5,020,996"
266,2021-07-18,救沥绕,堡林,16,7,"278,400",106,0.1,"26,559,360"
267,2021-07-19,辫家固,堡林,37,47,"26,400",73,0,"1,927,200"
268,2021-07-19,捞铰泅,堡林,49,57,"160,800",111,0.1,"16,063,920"
269,2021-07-20,急窍扼,堡林,38,37,"93,216",29,0.1,"2,432,938"
270,2021-07-23,碍悼盔,堡林,44,56,"160,800",53,0,"8,522,400"
271,2021-07-23,冠泅荐,堡林,51,17,"34,788",60,0.1,"1,878,552"
272,2021-07-24,辫傣绕,堡林,29,69,"27,480",5,0.1,"123,660"
273,2021-07-25,碍悼盔,堡林,43,31,"43,188",29,0.1,"1,127,207"
274,2021-07-25,救沥绕,堡林,16,27,"306,000",1,0,"306,000"
275,2021-07-26,救沥绕,堡林,39,61,"131,940",92,0,"12,138,480"
276,2021-07-27,急窍扼,堡林,38,3,"239,880",96,0.1,"20,725,632"
277,2021-07-27,冠柳酋,堡林,7,65,"14,280",43,0.1,"552,636"
278,2021-07-30,碍悼盔,堡林,43,70,"27,480",39,0,"1,071,720"
279,2021-07-30,坷康荐,堡林,31,50,"15,588",117,0.1,"1,641,416"
280,2021-07-31,救沥绕,堡林,16,77,"23,880",105,0,"2,507,400"
281,2021-07-31,辣措泅,堡林,8,61,"131,940",80,0.1,"9,499,680"
282,2021-08-01,辫蛮柳,堡林,19,9,"278,400",91,0,"25,334,400"
283,2021-08-01,弥家扼,堡林,18,60,"131,940",104,0.1,"12,349,584"
284,2021-08-02,冠柳酋,堡林,11,9,"278,400",74,0,"20,601,600"
285,2021-08-02,辫傣绕,堡林,26,40,"93,216",24,0.1,"2,013,466"
286,2021-08-03,碍悼盔,堡林,43,30,"43,188",8,0.1,"310,954"
287,2021-08-03,辫蛮柳,堡林,21,2,"239,880",62,0.1,"13,385,304"
288,2021-08-06,辫蛮柳,堡林,21,13,"25,884",19,0,"491,796"
289,2021-08-06,辣措泅,堡林,14,29,"306,000",74,0,"22,644,000"
290,2021-08-07,辫家固,堡林,37,37,"93,216",17,0.1,"1,426,205"
291,2021-08-08,辣措泅,堡林,9,78,"59,988",18,0.1,"971,806"
292,2021-08-08,急窍扼,堡林,12,64,"14,280",111,0,"1,585,080"
293,2021-08-09,辫蛮柳,堡林,20,20,"43,188",37,0.1,"1,438,160"
294,2021-08-09,救沥绕,堡林,17,45,"39,588",116,0,"4,592,208"
295,2021-08-10,巩技辣,堡林,23,20,"43,188",112,0.1,"4,353,350"
296,2021-08-10,救沥绕,堡林,5,60,"131,940",87,0,"11,478,780"
297,2021-08-13,蜡啊阑,堡林,41,6,"278,400",3,0.1,"751,680"
298,2021-08-13,急窍扼,堡林,12,65,"14,280",101,0,"1,442,280"
299,2021-08-14,辫家固,堡林,37,42,"115,140",113,0,"13,010,820"
300,2021-08-14,巩技辣,堡林,24,63,"14,280",6,0,"85,680"
301,2021-08-15,坷康荐,堡林,32,7,"278,400",49,0.1,"12,277,440"
302,2021-08-16,辫家固,堡林,37,24,"20,388",18,0,"366,984"
303,2021-08-16,急窍扼,堡林,38,54,"359,076",93,0,"33,394,068"
304,2021-08-17,救沥绕,堡林,6,2,"239,880",32,0.1,"6,908,544"
305,2021-08-17,坷康荐,堡林,31,59,"131,940",70,0.1,"8,312,220"
306,2021-08-20,辣措泅,堡林,33,27,"306,000",83,0,"25,398,000"
307,2021-08-20,碍悼盔,堡林,45,21,"43,188",79,0.1,"3,070,667"
308,2021-08-21,辫蛮柳,堡林,20,52,"359,076",64,0.1,"20,682,778"
309,2021-08-21,辣措泅,堡林,36,74,"63,480",18,0.1,"1,028,376"
310,2021-08-22,辣措泅,堡林,8,52,"359,076",37,0,"13,285,812"
311,2021-08-22,救沥绕,堡林,39,9,"278,400",57,0.1,"14,281,920"
312,2021-08-23,辣措泅,堡林,33,17,"34,788",27,0.1,"845,348"
313,2021-08-23,冠柳酋,堡林,3,13,"25,884",105,0,"2,717,820"
314,2021-08-24,救沥绕,堡林,17,32,"43,188",61,0.1,"2,371,021"
315,2021-08-24,辣措泅,堡林,34,5,"239,880",93,0.1,"20,077,956"
316,2021-08-27,辣措泅,堡林,33,27,"306,000",13,0,"3,978,000"
317,2021-08-27,辫傣绕,堡林,27,30,"43,188",55,0.1,"2,137,806"
318,2021-08-28,坷康荐,堡林,32,16,"34,788",39,0.1,"1,221,059"
319,2021-08-29,辫傣绕,堡林,27,21,"43,188",32,0.1,"1,243,814"
320,2021-08-29,冠柳酋,堡林,52,39,"93,216",34,0,"3,169,344"
321,2021-08-30,坷康荐,堡林,32,67,"21,480",27,0.1,"521,964"
322,2021-08-30,辣措泅,堡林,9,13,"25,884",49,0.1,"1,141,484"
323,2021-08-31,坷康荐,堡林,31,56,"160,800",8,0.1,"1,157,760"
324,2021-08-31,救沥绕,堡林,39,73,"63,480",34,0.1,"1,942,488"
325,2021-09-03,辑悼刮,堡林,40,44,"39,588",114,0.1,"4,061,729"
326,2021-09-03,辫蛮柳,堡林,20,70,"27,480",81,0,"2,225,880"
327,2021-09-04,急窍扼,堡林,12,73,"63,480",79,0,"5,014,920"
328,2021-09-04,辫蛮柳,堡林,19,12,"25,884",78,0.1,"1,817,057"
329,2021-09-05,辣措泅,堡林,10,77,"23,880",105,0.1,"2,256,660"
330,2021-09-05,辫傣绕,堡林,28,11,"17,424",24,0,"418,176"
331,2021-09-06,辫蛮柳,堡林,20,43,"115,140",43,0.1,"4,455,918"
332,2021-09-06,冠柳酋,堡林,3,40,"93,216",2,0.1,"167,789"
333,2021-09-07,碍悼盔,堡林,45,40,"93,216",65,0.1,"5,453,136"
334,2021-09-07,辣措泅,堡林,33,1,"239,880",9,0,"2,158,920"
335,2021-09-10,辣措泅,堡林,10,71,"27,480",71,0,"1,951,080"
336,2021-09-10,辣措泅,堡林,33,66,"21,480",112,0,"2,405,760"
337,2021-09-11,急窍扼,堡林,12,55,"160,800",110,0.1,"15,919,200"
338,2021-09-11,捞铰泅,堡林,49,51,"359,076",53,0.1,"17,127,925"
339,2021-09-12,辫傣绕,堡林,27,47,"26,400",108,0,"2,851,200"
340,2021-09-12,辑悼刮,堡林,40,54,"359,076",101,0,"36,266,676"
341,2021-09-13,救沥绕,堡林,39,18,"34,788",22,0.1,"688,802"
342,2021-09-13,急窍扼,堡林,38,36,"71,988",22,0,"1,583,736"
343,2021-09-14,蜡啊阑,堡林,41,6,"278,400",77,0.1,"19,293,120"
344,2021-09-14,碍悼盔,堡林,43,69,"27,480",110,0,"3,022,800"
345,2021-09-17,巩技辣,堡林,25,75,"23,880",89,0.1,"1,912,788"
346,2021-09-17,辫傣绕,堡林,28,71,"27,480",13,0.1,"321,516"
347,2021-09-18,冠柳酋,堡林,11,22,"20,388",22,0,"448,536"
348,2021-09-18,辣措泅,堡林,9,48,"26,400",97,0,"2,560,800"
349,2021-09-19,巩技辣,堡林,25,63,"14,280",54,0.1,"694,008"
350,2021-09-19,碍悼盔,堡林,43,63,"14,280",100,0.1,"1,285,200"
351,2021-09-20,急窍扼,堡林,13,71,"27,480",53,0,"1,456,440"
352,2021-09-20,辫傣绕,堡林,28,76,"23,880",36,0,"859,680"
353,2021-09-21,冠柳酋,堡林,4,3,"239,880",6,0.2,"1,151,424"
354,2021-09-21,坷康荐,堡林,32,21,"43,188",85,0,"3,670,980"
355,2021-09-24,碍悼盔,堡林,44,32,"43,188",42,0.1,"1,632,506"
356,2021-09-24,碍悼盔,堡林,45,65,"14,280",75,0.1,"963,900"
357,2021-09-25,冠柳酋,堡林,7,59,"131,940",115,0,"15,173,100"
358,2021-09-25,冠泅荐,堡林,50,13,"25,884",99,0,"2,562,516"
359,2021-09-26,辫家固,堡林,1,75,"23,880",23,0.1,"494,316"
360,2021-09-26,辫家固,堡林,37,78,"59,988",72,0,"4,319,136"
361,2021-09-27,辫蛮柳,堡林,20,37,"93,216",112,0,"10,440,192"
362,2021-09-28,辫蛮柳,堡林,20,72,"63,480",118,0.1,"6,741,576"
363,2021-09-28,辫蛮柳,堡林,20,75,"23,880",120,0,"2,865,600"
364,2021-10-01,巩技辣,堡林,25,17,"34,788",37,0.1,"1,158,440"
365,2021-10-01,辫蛮柳,堡林,21,55,"160,800",33,0,"5,306,400"
366,2021-10-02,碍悼盔,堡林,45,52,"359,076",42,0,"15,081,192"
367,2021-10-02,辣措泅,堡林,36,23,"20,388",66,0.1,"1,211,047"
368,2021-10-03,冠柳酋,堡林,4,50,"15,588",8,0.1,"112,234"
369,2021-10-03,冠柳酋,堡林,3,49,"15,588",77,0.1,"1,080,248"
370,2021-10-04,辣措泅,堡林,14,62,"131,940",101,0,"13,325,940"
371,2021-10-04,冠柳酋,堡林,3,8,"278,400",117,0.1,"29,315,520"
372,2021-10-05,辫傣绕,堡林,26,47,"26,400",78,0.1,"1,853,280"
373,2021-10-05,辣措泅,堡林,33,10,"278,400",105,0.1,"26,308,800"
374,2021-10-08,辫傣绕,堡林,28,11,"17,424",10,0.1,"156,816"
375,2021-10-08,冠柳酋,堡林,7,39,"93,216",15,0.1,"1,258,416"
376,2021-10-09,辣措泅,堡林,35,32,"43,188",1,0,"43,188"
377,2021-10-10,巩技辣,堡林,23,28,"306,000",25,0,"7,650,000"
378,2021-10-10,巩技辣,堡林,23,74,"63,480",61,0,"3,872,280"
379,2021-10-11,辫家固,堡林,37,77,"23,880",101,0.2,"1,929,504"
380,2021-10-11,辣措泅,堡林,10,65,"14,280",79,0,"1,128,120"
381,2021-10-12,辣措泅,堡林,8,32,"43,188",31,0,"1,338,828"
382,2021-10-12,救沥绕,堡林,6,28,"306,000",108,0.1,"29,743,200"
383,2021-10-15,辣措泅,堡林,14,74,"63,480",12,0,"761,760"
384,2021-10-15,巩技辣,堡林,23,24,"20,388",67,0,"1,365,996"
385,2021-10-16,救沥绕,堡林,16,22,"20,388",50,0,"1,019,400"
386,2021-10-16,蜡啊阑,堡林,41,55,"160,800",44,0.1,"6,367,680"
387,2021-10-17,辑悼刮,堡林,40,37,"93,216",49,0.1,"4,110,826"
388,2021-10-17,辣措泅,堡林,15,1,"239,880",59,0,"14,152,920"
389,2021-10-18,蜡啊阑,堡林,41,16,"34,788",4,0.1,"125,237"
390,2021-10-18,辣措泅,堡林,9,19,"43,188",69,0.1,"2,681,975"
391,2021-10-19,碍悼盔,堡林,45,78,"59,988",44,0,"2,639,472"
392,2021-10-19,辣措泅,堡林,14,73,"63,480",1,0,"63,480"
393,2021-10-22,冠柳酋,堡林,52,70,"27,480",43,0,"1,181,640"
394,2021-10-22,辫傣绕,堡林,26,17,"34,788",67,0.1,"2,097,716"
395,2021-10-23,辫蛮柳,堡林,20,11,"17,424",55,0,"958,320"
396,2021-10-23,辣措泅,堡林,33,11,"17,424",73,0,"1,271,952"
397,2021-10-24,救沥绕,堡林,6,9,"278,400",69,0.1,"17,288,640"
398,2021-10-24,辣措泅,堡林,15,5,"239,880",17,0,"4,077,960"
399,2021-10-25,辑悼刮,堡林,40,69,"27,480",21,0,"577,080"
400,2021-10-25,救沥绕,堡林,16,4,"239,880",8,0.1,"1,727,136"
401,2021-10-26,坷康荐,堡林,31,49,"15,588",59,0.1,"827,723"
402,2021-10-26,坷康荐,堡林,31,69,"27,480",72,0.1,"1,780,704"
403,2021-10-29,救沥绕,堡林,39,19,"43,188",27,0.1,"1,049,468"
404,2021-10-29,辑悼刮,堡林,40,5,"239,880",61,0,"14,632,680"
405,2021-10-31,急窍扼,堡林,38,33,"71,988",13,0.1,"842,260"
406,2021-10-31,冠柳酋,堡林,3,59,"131,940",73,0,"9,631,620"
407,2021-11-01,急窍扼,堡林,12,53,"359,076",32,0.1,"10,341,389"
408,2021-11-01,巩技辣,堡林,25,36,"71,988",67,0.1,"4,340,876"
409,2021-11-02,辣措泅,堡林,9,13,"25,884",4,0.1,"93,182"
410,2021-11-02,弥家扼,堡林,18,10,"278,400",86,0.1,"21,548,160"
411,2021-11-05,辫蛮柳,堡林,20,26,"306,000",55,0,"16,830,000"
412,2021-11-05,辣措泅,堡林,34,59,"131,940",21,0,"2,770,740"
413,2021-11-06,辫蛮柳,堡林,22,62,"131,940",59,0.1,"7,006,014"
414,2021-11-06,急窍扼,堡林,38,40,"93,216",26,0.1,"2,181,254"
415,2021-11-07,辣措泅,堡林,34,62,"131,940",55,0,"7,256,700"
416,2021-11-07,辫蛮柳,堡林,19,13,"25,884",50,0,"1,294,200"
417,2021-11-08,冠柳酋,堡林,3,29,"306,000",62,0.1,"17,074,800"
418,2021-11-09,辣措泅,堡林,34,17,"34,788",74,0,"2,574,312"
419,2021-11-09,辫傣绕,堡林,27,58,"160,800",68,0,"10,934,400"
420,2021-11-12,救沥绕,堡林,5,28,"306,000",13,0,"3,978,000"
421,2021-11-12,辫傣绕,堡林,26,53,"359,076",65,0.1,"21,005,946"
422,2021-11-13,坷康荐,堡林,31,12,"25,884",54,0,"1,397,736"
423,2021-11-13,救沥绕,堡林,39,64,"14,280",45,0.1,"578,340"
424,2021-11-14,辣措泅,堡林,8,32,"43,188",26,0,"1,122,888"
425,2021-11-14,冠柳酋,堡林,7,43,"115,140",85,0,"9,786,900"
426,2021-11-15,蜡啊阑,堡林,41,37,"93,216",36,0.1,"3,020,198"
427,2021-11-16,辣措泅,堡林,10,17,"34,788",25,0,"869,700"
428,2021-11-19,冠柳酋,堡林,11,20,"43,188",36,0,"1,554,768"
429,2021-11-19,坷康荐,堡林,30,27,"306,000",51,0.1,"14,045,400"
430,2021-11-20,辫蛮柳,堡林,20,56,"160,800",59,0.1,"8,538,480"
431,2021-11-20,巩技辣,堡林,23,30,"43,188",52,0,"2,245,776"
432,2021-11-21,救沥绕,堡林,39,64,"14,280",78,0.1,"1,002,456"
433,2021-11-21,辣措泅,堡林,33,64,"14,280",1,0.1,"12,852"
434,2021-11-22,捞铰泅,堡林,49,48,"26,400",69,0,"1,821,600"
435,2021-11-22,辣措泅,堡林,15,63,"14,280",99,0.1,"1,272,348"
436,2021-11-23,辑悼刮,堡林,40,27,"306,000",33,0.1,"9,088,200"
437,2021-11-23,捞铰泅,堡林,49,49,"15,588",67,0,"1,044,396"
438,2021-11-26,冠柳酋,堡林,7,17,"34,788",55,0.1,"1,722,006"
439,2021-11-27,弥家扼,堡林,18,44,"39,588",40,0.1,"1,425,168"
440,2021-11-27,坷康荐,堡林,30,69,"27,480",35,0.1,"865,620"
441,2021-11-28,冠柳酋,堡林,3,26,"306,000",109,0,"33,354,000"
442,2021-11-29,冠泅荐,堡林,51,52,"359,076",104,0,"37,343,904"
443,2021-11-29,坷康荐,堡林,32,9,"278,400",36,0,"10,022,400"
444,2021-11-30,冠柳酋,堡林,11,54,"359,076",10,0.1,"3,231,684"
445,2021-11-30,蜡啊阑,堡林,41,56,"160,800",59,0,"9,487,200"
446,2021-12-01,冠柳酋,堡林,4,68,"21,480",101,0,"2,169,480"
447,2021-12-02,辫家固,堡林,1,77,"23,880",17,0,"405,960"
448,2021-12-03,辣措泅,堡林,15,74,"63,480",99,0.1,"5,656,068"
449,2021-12-03,辫蛮柳,堡林,20,31,"43,188",119,0,"5,139,372"
450,2021-12-03,冠柳酋,堡林,4,70,"27,480",81,0.1,"2,003,292"
451,2021-12-04,辣措泅,堡林,10,22,"20,388",105,0.1,"1,926,666"
452,2021-12-05,冠泅荐,堡林,51,1,"239,880",67,0,"16,071,960"
453,2021-12-05,冠柳酋,堡林,7,62,"131,940",110,0.1,"13,062,060"
454,2021-12-06,救沥绕,堡林,6,43,"115,140",73,0.1,"7,564,698"
455,2021-12-06,急窍扼,堡林,38,9,"278,400",70,0,"19,488,000"
456,2021-12-07,急窍扼,堡林,12,3,"239,880",18,0.1,"3,886,056"
457,2021-12-07,辣措泅,堡林,36,76,"23,880",81,0.1,"1,740,852"
458,2021-12-10,辫傣绕,堡林,27,25,"306,000",65,0,"19,890,000"
459,2021-12-10,辫傣绕,堡林,26,7,"278,400",48,0,"13,363,200"
460,2021-12-10,冠柳酋,堡林,4,68,"21,480",118,0,"2,534,640"
461,2021-12-11,急窍扼,堡林,38,61,"131,940",115,0,"15,173,100"
462,2021-12-11,辣措泅,堡林,14,73,"63,480",73,0.1,"4,170,636"
463,2021-12-11,辫家固,堡林,1,77,"23,880",14,0,"334,320"
464,2021-12-12,辫傣绕,堡林,26,76,"23,880",92,0.1,"1,977,264"
465,2021-12-12,辫蛮柳,堡林,21,11,"17,424",71,0.1,"1,113,394"
466,2021-12-12,冠柳酋,堡林,4,70,"27,480",85,0.1,"2,102,220"
467,2021-12-13,辣措泅,堡林,8,46,"39,588",47,0,"1,860,636"
468,2021-12-13,急窍扼,堡林,38,43,"115,140",92,0,"10,592,880"
469,2021-12-14,辣措泅,堡林,14,67,"21,480",20,0.1,"386,640"
470,2021-12-14,辣措泅,堡林,36,9,"278,400",110,0.1,"27,561,600"
471,2021-12-17,救沥绕,堡林,6,46,"39,588",116,0.1,"4,132,987"
472,2021-12-17,冠泅荐,堡林,51,23,"20,388",54,0.1,"990,857"
473,2021-12-18,捞铰泅,堡林,49,25,"306,000",52,0,"15,912,000"
474,2021-12-18,辫傣绕,堡林,29,43,"115,140",10,0,"1,151,400"
475,2021-12-19,救沥绕,堡林,16,50,"15,588",41,0.1,"575,197"
476,2021-12-19,巩技辣,堡林,25,42,"115,140",117,0.1,"12,124,242"
477,2021-12-20,辫傣绕,堡林,28,3,"239,880",66,0.1,"14,248,872"
478,2021-12-20,救沥绕,堡林,5,69,"27,480",34,0.1,"840,888"
479,2021-12-21,辫傣绕,堡林,29,36,"71,988",119,0.1,"7,709,915"
480,2021-12-21,冠柳酋,堡林,11,48,"26,400",119,0,"3,141,600"
481,2021-12-24,冠柳酋,堡林,4,68,"21,480",37,0,"794,760"
482,2021-12-25,碍悼盔,堡林,45,54,"359,076",26,0,"9,335,976"
483,2021-12-25,辫家固,堡林,1,77,"23,880",14,0,"334,320"
484,2021-12-26,急窍扼,堡林,13,48,"26,400",59,0,"1,557,600"
485,2021-12-27,巩技辣,堡林,24,65,"14,280",19,0.1,"244,188"
486,2021-12-27,巩技辣,堡林,23,14,"25,884",110,0,"2,847,240"
487,2021-12-28,冠柳酋,堡林,4,70,"27,480",56,0.1,"1,384,992"
488,2021-12-31,巩技辣,堡林,25,48,"26,400",25,0.1,"594,000"
489,2021-12-31,辣措泅,堡林,14,31,"43,188",111,0.1,"4,314,481"
