연도,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
1965,7538,782,194,0,0,0,0,0,0,846,554,586,594,754,1078,1257,777,116
1966,7270,979,241,0,0,0,0,0,0,702,590,385,662,560,941,1169,928,113
1967,7604,1131,254,0,0,0,0,0,0,774,641,375,689,622,1018,1068,913,119
1968,8275,1240,308,0,0,0,0,0,0,873,727,387,767,662,1140,1080,966,125
1969,9073,1187,273,0,0,0,0,0,0,868,796,461,854,765,1338,1368,1032,131
1970,9571,1345,442,0,0,0,0,0,0,946,832,484,818,783,1350,1412,1028,131
1971,10293,1433,413,0,0,0,0,0,0,994,893,512,896,868,1487,1533,1119,145
1972,10712,1622,406,0,0,0,0,0,0,1032,906,566,918,811,1543,1579,1177,152
1973,11340,1994,452,0,0,0,0,0,0,1062,930,567,953,905,1589,1547,1186,155
1974,11682,2176,493,0,0,0,0,0,0,1057,935,582,940,916,1596,1603,1228,156
1975,11694,2264,580,0,0,0,0,0,0,1074,932,567,934,925,1659,1564,1035,160
1976,12084,2052,726,0,0,0,0,0,0,1112,954,581,1018,960,1663,1594,1256,168
1977,11646,2077,728,0,0,0,0,0,0,1120,980,545,909,877,1443,1545,1261,161
1978,13320,2052,818,0,0,0,0,0,0,1400,1014,762,1203,1051,1767,1766,1282,205
1979,13662,2151,631,0,0,0,0,0,0,1452,1019,756,1279,1155,1716,1947,1375,181
1980,14978,2347,976,0,0,0,0,0,0,1681,1033,765,1285,1273,1913,1959,1543,203
1981,15152,2254,807,0,0,0,0,0,0,1714,1086,769,1397,1281,1901,2114,1611,218
1982,14924,2107,751,379,293,0,0,0,0,1431,1113,760,1386,1243,1905,1713,1621,222
1983,16897,2157,797,408,258,0,0,0,0,1660,1307,901,1550,1353,2261,2089,1899,257
1984,17775,2214,789,417,274,0,0,0,0,1778,1353,940,1667,1515,2313,2175,2070,270
1985,18802,2306,829,442,277,0,0,0,0,1888,1407,1008,1803,1619,2502,2308,2114,299
1986,19517,2416,882,466,305,0,0,0,0,1991,1468,1030,1855,1662,2604,2357,2173,308
1987,20501,2545,943,503,336,252,0,0,0,2111,1520,1065,1947,1740,2450,2463,2305,321
1988,22900,2887,1050,565,417,385,0,0,0,2396,1702,1170,2099,1885,2631,2692,2663,358
1989,24515,3407,1348,706,556,467,417,0,0,2471,1735,1201,1756,1938,2669,2775,2671,398
1990,24927,3368,1366,709,580,474,432,0,0,2561,1769,1230,1816,1979,2674,2842,2703,424
1991,24910,3258,1340,737,593,474,427,0,0,2628,1720,1221,1834,2018,2722,2747,2753,438
1992,25015,3308,1401,775,632,471,434,0,0,2749,1629,1223,1866,1922,2687,2703,2767,448
1993,25984,3363,1434,795,681,496,511,0,0,2907,1587,1250,1966,1982,2682,2986,2862,482
1994,26572,3440,1436,789,645,522,520,0,0,3203,1584,1234,2077,1980,2747,2970,2926,499
1995,26998,3403,1438,885,805,500,547,0,0,3266,1572,1346,2250,1969,2670,2908,2961,478
1996,28148,3529,1440,946,845,558,595,0,0,3497,1584,1389,2414,2110,2642,2898,3216,485
1997,29923,4137,1654,1157,1068,563,640,0,0,3769,1643,1380,2541,1999,2622,2861,3368,521
1998,30749,4164,1705,1199,1149,618,631,526,0,4122,1608,1380,2573,2226,2594,2842,2900,512
1999,28593,3872,1523,1141,1114,619,603,498,0,4007,1385,1306,2259,2057,2482,2590,2680,457
2000,27356,3695,1474,1108,1097,622,600,515,0,3877,1378,1259,2088,2006,2236,2487,2489,425
2001,27615,3781,1451,1110,1085,620,606,513,0,3943,1425,1253,2101,1967,2219,2552,2589,400
2002,27551,3764,1416,1114,1058,613,634,476,0,3975,1488,1257,2109,1931,2223,2480,2615,398
2003,27878,3738,1407,1083,1120,636,634,502,0,4267,1537,1244,2046,1884,2253,2510,2597,420
2004,28121,3739,1396,1044,1227,632,642,506,0,4356,1575,1263,2016,1895,2251,2543,2621,415
2005,28691,3776,1448,1033,1249,657,665,527,0,4631,1686,1333,2021,1874,2252,2454,2630,455
2006,28708,3767,1495,1040,1227,671,671,548,0,4869,1682,1338,1994,1578,2263,2474,2638,453
2007,27473,3512,1400,988,1200,640,663,569,0,4777,1602,1296,1858,1496,2157,2272,2615,428
2008,25504,3283,1286,919,1089,575,591,524,0,4580,1441,1202,1723,1428,2007,2151,2295,410
2009,25304,3220,1268,945,1091,588,581,524,0,4573,1437,1239,1716,1410,1990,2070,2236,416
2010,25519,3225,1263,959,1046,598,588,530,0,4779,1425,1240,1716,1372,1979,2096,2288,415
2011,25435,3196,1239,943,1058,624,598,537,0,4841,1433,1228,1690,1414,1943,2015,2258,418
2012,25739,3216,1289,985,1112,615,608,539,0,4836,1419,1173,1735,1464,1979,2034,2317,418
2013,25265,3174,1251,955,1085,605,559,511,90,4796,1400,1111,1577,1621,1946,1946,2232,406
2014,25725,3240,1270,991,1092,612,570,534,108,4910,1461,1136,1606,1633,1954,1949,2257,402
2015,25472,3232,1286,942,1061,612,570,507,134,4922,1499,1135,1535,1613,1910,1861,2217,436
2016,24992,3176,1255,907,1048,586,564,502,152,4727,1466,1095,1533,1565,1833,1962,2200,421
2017,24529,3114,1255,866,1039,587,557,485,174,4673,1431,1076,1428,1529,1806,1886,2199,424
2018,24225,3025,1219,821,1006,594,536,485,193,4705,1410,1078,1379,1490,1767,1861,2217,439
2019,23967,3028,1190,771,961,586,532,480,186,4664,1344,1111,1372,1484,1781,1884,2168,425
2020,23941,2962,1191,768,947,580,509,476,197,4760,1351,1103,1376,1502,1780,1827,2175,437
2021,23768,2960,1195,737,956,554,491,461,208,4742,1302,1156,1352,1475,1760,1816,2189,414
2022,23802,2989,1206,740,933,556,491,448,207,4759,1292,1147,1345,1481,1765,1861,2177,405
